Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C27H43O6N9P2,CHONP,591.3492633,27,43,6,9,2,0,0.22,1.59,0.33,0.07,4.50,58758.38823,84750.85942,61501.0917,691859.3006,1607518.405,64089.85771
C23H40O10N6S,CHONS,592.2526533,23,40,10,6,0,1,0.43,1.74,0.26,0.00,0.00,4231.050951,15819.97851,36321.2056,31019.69207,48106.92793,2243.165522
C15H28O4,CHO,272.1988,15,28,4,0,0,0,0.27,1.87,0.00,0.00,0.00,1258041.416,919196.4939,4726464.768,78513.53441,83849.46329,
C35H60O6,CHO,576.439,35,60,6,0,0,0,0.17,1.71,0.00,0.00,0.00,5360665.097,4393442.127,3703606.339,11631596.03,5492109.76,8255601.795
C15H14O4,CHO,258.0892,15,14,4,0,0,0,0.27,0.93,0.00,0.00,0.00,17666042.22,71960904.61,78881848.63,1677566.839,39144094.23,1526972.045
C12H25ON,CHON,199.1936,12,25,1,1,0,0,0.08,2.08,0.08,0.00,0.00,583936.5377,561574.1327,401310.3361,60017.9204,119176.02,143848.0022
C8H16O4N2,CHON,204.1110033,8,16,4,2,0,0,0.50,2.00,0.25,0.00,0.00,55978884.35,38937973.62,10964647.57,617369.7425,130326.0443,465732.3526
C19H29O4N3S,CHONS,395.1878733,19,29,4,3,0,1,0.21,1.53,0.16,0.00,0.00,399030.144,934865.8401,1823775.75,1389660.525,312015.6956,211009.4972
C21H33O6N5S,CHONS,483.2151533,21,33,6,5,0,1,0.29,1.57,0.24,0.00,0.00,782408.9639,505535.4135,550808.5522,733372.565,648754.8849,390264.8484
C36H70O2,CHO,534.5376,36,70,2,0,0,0,0.06,1.94,0.00,0.00,0.00,5075997.775,3048034.303,956008.2775,5832687.691,6243670.013,3766546.03
C12H24O3N2,CHON,244.1786833,12,24,3,2,0,0,0.25,2.00,0.17,0.00,0.00,445626.4336,1800124.947,1307573.897,4435863.902,4330068.431,6410815.28
C25H46O11S,CHOS,554.2761,25,46,11,0,0,1,0.44,1.84,0.00,0.00,0.00,305563.6142,607215.715,674030.3226,1129135.402,744537.9826,900187.6109
C25H28O12,CHO,520.1581,25,28,12,0,0,0,0.48,1.12,0.00,0.00,0.00,12192593.22,3927061.897,11919183.39,1020791.674,1205816.805,2662.521128
C5H9O2N,CHON,115.0633233,5,9,2,1,0,0,0.40,1.80,0.20,0.00,0.00,1030888.949,950759.0532,580595.1827,1509054.924,2218150.406,900340.204
C18H27O8N5,CHON,441.1859533,18,27,8,5,0,0,0.44,1.50,0.28,0.00,0.00,359641.6277,199120.3021,472433.1739,2769150.65,3620895.462,324245.1717
C7H10O7,CHO,206.0427,7,10,7,0,0,0,1.00,1.43,0.00,0.00,0.00,69411783.08,113663739,81137085.54,117940145.1,126411748.5,113233729
C12H21O6N5S2,CHONS,395.0933333,12,21,6,5,0,2,0.50,1.75,0.42,0.00,0.00,848228.7673,2115554.453,3813057.499,3942954.548,2811503.8,1233679.096
C11H12O2,CHO,176.0837,11,12,2,0,0,0,0.18,1.09,0.00,0.00,0.00,117931.3332,49828.1408,90111.21719,14717.08454,76385.3787,476.3857454
C11H14O3N2,CHON,222.1004333,11,14,3,2,0,0,0.27,1.27,0.18,0.00,0.00,436223.1932,1518696.002,5760653.655,8020743.129,4418275.113,1349833.666
C10H8O4,CHO,192.04226,10,8,4,0,0,0,0.40,0.80,0.00,0.00,0.00,29647.89336,143764.1767,117160.1459,226168.0507,199655.3955,119393.6766
C28H42O7,CHO,490.2931,28,42,7,0,0,0,0.25,1.50,0.00,0.00,0.00,228799.2158,226700.8412,288130.0031,357882.8397,143666.7788,231134.7945
C25H38O11N6,CHON,598.2598633,25,38,11,6,0,0,0.44,1.52,0.24,0.00,0.00,203059.3517,31522.47605,90081.25313,405503.5062,294014.8496,
C6H13O4N,CHON,163.084459,6,13,4,1,0,0,0.67,2.17,0.17,0.00,0.00,376220.5023,590512.906,357960.793,762406.6488,599874.2241,
C24H37O6N9,CHON,547.2866633,24,37,6,9,0,0,0.25,1.54,0.38,0.00,0.00,465341.7413,994562.9442,89275.4411,2285589.804,1535122.669,1331052.006
C28H48O7N8S3,CHONS,704.2808133,28,48,7,8,0,3,0.25,1.71,0.29,0.00,0.00,1607617.556,2288115.66,916423.4684,4632852.834,1479393.432,1071343.493
C20H32O10N7PS2,CHONPS,595.1730433,20,32,10,7,1,2,0.50,1.60,0.35,0.05,7.00,487546.4331,1464743.869,637069.5349,726020.0563,522352.8678,1675919.38
C26H38O3,CHO,398.2821,26,38,3,0,0,0,0.12,1.46,0.00,0.00,0.00,4637427.65,5497486.859,6735501.953,7605762.305,7004007.404,7987949.765
C24H37O6N5S2,CHONS,555.2185233,24,37,6,5,0,2,0.25,1.54,0.21,0.00,0.00,2634164.595,707273.8265,1325242.206,1966066.289,923764.2162,337613.8966
C15H27O7N5S4,CHONS,517.0793533,15,27,7,5,0,4,0.47,1.80,0.33,0.00,0.00,110033.6707,166704.2367,185994.7504,151949.1487,19882.33149,65772.09916
C6H9O2N3,CHON,155.0694733,6,9,2,3,0,0,0.33,1.50,0.50,0.00,0.00,61411370.76,63992262.38,51359312.42,54900323.51,65758003.99,89868102.16
C11H12O3,CHO,192.078645,11,12,3,0,0,0,0.27,1.09,0.00,0.00,0.00,621906.1621,358334.9665,373155.4929,613725.1843,237791.6992,538374.0256
C24H30O6,CHO,414.20424,24,30,6,0,0,0,0.25,1.25,0.00,0.00,0.00,1446155.135,1341719.341,514871.4815,1132884.768,241115.7447,1054186.918
C23H28O9,CHO,448.1733,23,28,9,0,0,0,0.39,1.22,0.00,0.00,0.00,1898272.569,2671807.72,4244155.559,2411905.192,1504716.114,1431632.957
C18H32O8N6S3,CHONS,556.1443933,18,32,8,6,0,3,0.44,1.78,0.33,0.00,0.00,1106309.519,617940.9201,1254961.823,542116.6704,1242644.601,301735.4599
C20H36O7N8,CHON,500.2706933,20,36,7,8,0,0,0.35,1.80,0.40,0.00,0.00,4163488.543,6062895.008,8263214.855,6417721.618,5340405.039,6286179.969
