Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C38H63O19N11,CHON,977.4301633,38,63,19,11,0,0,0.50,1.66,0.29,0.00,0.00,5513.253254,88280.62906,39025.98293,19665.83999,26268.83164,32441.79614
C21H39O8N9,CHON,545.2921533,21,39,8,9,0,0,0.38,1.86,0.43,0.00,0.00,3848379.025,988436.3401,1497190.469,14958653,24204812.32,11380999.48
C16H34O,CHO,242.261,16,34,1,0,0,0,0.06,2.13,0.00,0.00,0.00,409662.1222,409591.9861,294324.9885,424122.3228,418320.3515,480079.6255
C24H40O8N6,CHON,540.2907533,24,40,8,6,0,0,0.33,1.67,0.25,0.00,0.00,2457806.584,1486383.892,1674833.031,1270416.112,982133.3795,1275240.355
C23H24O12,CHO,492.12678,23,24,12,0,0,0,0.52,1.04,0.00,0.00,0.00,237145.7531,243076.2728,360692.4319,376792.7527,323956.6701,229467.7676
C15H31O5N7,CHON,389.2386633,15,31,5,7,0,0,0.33,2.07,0.47,0.00,0.00,3260692.194,15162023.85,5802994.363,18212590.62,11577174.4,8876936.758
C42H73O18N9,CHON,991.5073433,42,73,18,9,0,0,0.43,1.74,0.21,0.00,0.00,3632.919654,,,8727.30091,3522.112251,1597.942386
C30H48O3,CHO,456.3603,30,48,3,0,0,0,0.10,1.60,0.00,0.00,0.00,2048418.302,2174306.019,1057993.721,576645.4206,641769.1679,3779856.099
C22H36O10N6,CHON,544.2492833,22,36,10,6,0,0,0.45,1.64,0.27,0.00,0.00,1360871.717,2486664.392,1179936.672,3755497.132,1862981.017,2818611.528
C14H24O2,CHO,262.1744,14,24,2,0,0,0,0.14,1.71,0.00,0.00,0.00,1056513.065,2918155.071,302657.0648,2075986.582,3288910.506,
C20H34O6N4,CHON,426.2478233,20,34,6,4,0,0,0.30,1.70,0.20,0.00,0.00,852891.771,861981.8673,8937.939706,6497.295978,10668.9615,
C21H32O6S,CHOS,412.192,21,32,6,0,0,1,0.29,1.52,0.00,0.00,0.00,769987.0459,267992.2556,294111.7751,2316544.222,2552874.58,2567654.828
C37H66O8N10P2S,CHONPS,812.4942133,37,66,8,10,2,1,0.22,1.78,0.27,0.05,5.00,505588.1773,395778.2432,144893.4123,194596.5724,333156.8562,310227.5667
C39H80,CH,548.626,39,80,0,0,0,0,0.00,2.05,0.00,0.00,0.00,1370263.72,2558949.614,485917.3971,3291865.002,2655178.658,1538024.803
C33H65O4N,CHON,539.4914,33,65,4,1,0,0,0.12,1.97,0.03,0.00,0.00,15388.90771,298449.5674,337801.4047,404203.9927,285597.4417,7589.042373
C28H24O14,CHO,584.1166,28,24,14,0,0,0,0.50,0.86,0.00,0.00,0.00,120484.9675,32364.14135,69003.12047,20601.77603,413366.8296,55328.83206
C11H17O3N4P,CHONP,254.1378833,11,17,3,4,1,0,0.27,1.55,0.36,0.09,4.00,505132.0111,2690478.086,170949.0291,289412.5343,233024.692,289412.5343
C5H14N4,CHN,130.121846,5,14,0,4,0,0,0.00,2.80,0.80,0.00,0.00,1862505.799,4893239.956,685583.3164,617413.486,1439262.562,2825689.916
C32H54O3,CHO,486.4073,32,54,3,0,0,0,0.09,1.69,0.00,0.00,0.00,564499.4645,464044.6713,293899.9791,4510714.434,4260.937965,71982.30842
C42H63O11N11S2,CHONS,961.4149933,42,63,11,11,0,2,0.26,1.50,0.26,0.00,0.00,1030.921436,,,,1898.531992,
C30H50O7NP,CHONP,567.3325,30,50,7,1,1,0,0.23,1.67,0.03,0.03,1.00,415083.3806,1785886.619,2410833.872,2424702.723,1812474.334,1827625.368
C22H41O6N11,CHON,555.3241133,22,41,6,11,0,0,0.27,1.86,0.50,0.00,0.00,31951.28462,181673.0183,19450.55672,18811.27303,45876.15303,445922.7503
C22H16O10,CHO,440.0743,22,16,10,0,0,0,0.45,0.73,0.00,0.00,0.00,525222.8665,703289.1306,749230.8049,2490340.227,3024682.999,6576.484967
C15H10O4,CHO,254.05791,15,10,4,0,0,0,0.27,0.67,0.00,0.00,0.00,981549.0942,1668401.733,1033914.944,3345692.85,3066186.076,4000566.126
C22H34O2,CHO,330.2559,22,34,2,0,0,0,0.09,1.55,0.00,0.00,0.00,29997533.01,19948238.25,10641385.39,13790296.41,26133917.27,3812272.203
C23H26O6,CHO,398.1729,23,26,6,0,0,0,0.26,1.13,0.00,0.00,0.00,233732.7764,1603380.516,769551.9024,329380.2144,507408.6409,157556.6328
C18H30O8N6S2,CHONS,522.1566633,18,30,8,6,0,2,0.44,1.67,0.33,0.00,0.00,167965.2768,302424.5928,112159.5063,187720.5042,351706.841,200043.367
C12H16O4N2,CHON,252.1110033,12,16,4,2,0,0,0.33,1.33,0.17,0.00,0.00,1557584.296,456196.6784,309967.0497,942257.4959,1351757.618,1618684.929
C27H40O2,CHO,408.3868,27,40,2,0,0,0,0.07,1.48,0.00,0.00,0.00,742157.5211,596338.6793,609598.8659,676441.7228,1190977.428,4081.965599
C20H42O2,CHO,314.3185,20,42,2,0,0,0,0.10,2.10,0.00,0.00,0.00,281711.3092,691034.1216,322478.8411,301264.6634,517425.8392,1151.350079
C27H34O9N4,CHON,558.2325733,27,34,9,4,0,0,0.33,1.26,0.15,0.00,0.00,23345382.1,21013448.31,15659368.37,6896009.777,4339851.845,966438.6416
C26H35O6N7,CHON,541.2648733,26,35,6,7,0,0,0.23,1.35,0.27,0.00,0.00,296151.435,207081.9867,296151.435,31695.65222,52052.63489,
C37H62O15N14S,CHONS,974.4239833,37,62,15,14,0,1,0.41,1.68,0.38,0.00,0.00,6222.868073,24599.15866,9822.162665,186561.2989,130084.0082,54902.90836
C22H20O8,CHO,412.1158,22,20,8,0,0,0,0.36,0.91,0.00,0.00,0.00,724868.5442,1588001.688,889354.3031,3524788.583,3676579.664,355.1039469
C25H34O6N6,CHON,514.2539733,25,34,6,6,0,0,0.24,1.36,0.24,0.00,0.00,2416853.886,1168707.366,1602843.192,825658.0407,1252513.95,366223.4605
C26H38O7N8,CHON,574.2863433,26,38,7,8,0,0,0.27,1.46,0.31,0.00,0.00,6336617.865,12326325.97,5724807.844,7929710.82,5628054.382,3465260.353
C8H8O3,CHO,152.0473,8,8,3,0,0,0,0.38,1.00,0.00,0.00,0.00,1015076.624,493375.1425,641824.1617,494715.4104,663072.2053,312112.8735
C20H36O7N8S,CHONS,532.2427633,20,36,7,8,0,1,0.35,1.80,0.40,0.00,0.00,12292.65138,13282.63043,1086.695961,13514.64917,16879.93291,5061.169835
C6H14O2N4,CHON,174.1116733,6,14,2,4,0,0,0.33,2.33,0.67,0.00,0.00,570945.1541,1266470.588,1746366.763,1675303.319,658040.2694,2303535.761
C23H36O9N7PS,CHONPS,587.2373433,23,36,9,7,1,1,0.39,1.57,0.30,0.04,7.00,30727.83925,28739.46411,8893.989277,4584.922344,17171.56434,
C19H29O7N6P,CHONP,454.2175833,19,29,7,6,1,0,0.37,1.53,0.32,0.05,6.00,838407.3757,384384.9786,330926.281,424362.4414,364369.0372,476266.3363
C41H77O10P,CHOP,760.5254,41,77,10,0,1,0,0.24,1.88,0.00,0.02,0.00,17287703.75,7795314.473,14726671.31,11248344.71,13338382.17,35934717.65
C19H35O8N9,CHON,517.2608633,19,35,8,9,0,0,0.42,1.84,0.47,0.00,0.00,142888.85,565472.0427,414020.8269,176500.4967,349414.4967,41851.94785
C19H34O8,CHO,390.2254,19,34,8,0,0,0,0.42,1.79,0.00,0.00,0.00,235421.6644,74963.21554,272970.4664,60784.94101,237426.674,90762.99336
C24H42O2,CHO,362.3185,24,42,2,0,0,0,0.08,1.75,0.00,0.00,0.00,22853.12688,229204.3847,156137.0671,7399.4663,1557.271274,
C20H30O13N7P,CHONP,577.1979833,20,30,13,7,1,0,0.65,1.50,0.35,0.05,7.00,1464159.416,539996.3121,1275312.093,1022944.397,1317832.327,282126.317
C19H36O6N4,CHON,416.2634733,19,36,6,4,0,0,0.32,1.89,0.21,0.00,0.00,173054.3656,226669.9269,199227.2223,150771.3474,18370.38916,286030.4745
C25H22O9,CHO,466.126385,25,22,9,0,0,0,0.36,0.88,0.00,0.00,0.00,2883574.797,1969119.45,7306840.995,3863089.845,3258445.888,2232749.748
C9H17O3N,CHON,187.1208,9,17,3,1,0,0,0.33,1.89,0.11,0.00,0.00,707135.4648,424415.983,273922.3515,238423.6988,965082.9766,1148293.65
C16H26O2,CHO,250.1933,16,26,2,0,0,0,0.13,1.63,0.00,0.00,0.00,2878376.255,2316762.849,3322687.501,956292.5334,2145289.696,710847.3556
C8H13O4N,CHON,187.0845,8,13,4,1,0,0,0.50,1.63,0.13,0.00,0.00,577476.5571,1801390.367,2546661.077,1873504.86,1084464.259,108.9516006
C29H48O6N6,CHON,576.3635133,29,48,6,6,0,0,0.21,1.66,0.21,0.00,0.00,241225.0424,298876.3004,457721.334,120617.6324,279402.4734,26062.71981
C15H12O7,CHO,304.058305,15,12,7,0,0,0,0.47,0.80,0.00,0.00,0.00,7837.471388,10581.79001,14560.98397,43264.90235,53469.83043,19830.78417
C15H21O5N3,CHON,323.1481133,15,21,5,3,0,0,0.33,1.40,0.20,0.00,0.00,252085.5193,92327.1726,39228.86663,123371.9602,226776.0719,232247.7816
C18H32O5N7P,CHONP,427.2543033,18,32,5,7,1,0,0.28,1.78,0.39,0.06,7.00,868709.5564,591196.9173,791124.9347,3265138.177,4473653.383,2706670.405
C31H36O8N4,CHON,592.2533133,31,36,8,4,0,0,0.26,1.16,0.13,0.00,0.00,3523322.331,3169673.139,1367741.555,280313.5315,796643.352,1377.392687
C41H73O8N,CHON,707.5336,41,73,8,1,0,0,0.20,1.78,0.02,0.00,0.00,1889586.631,2733887.687,1988360.378,945365.0892,5204781.404,6134694.575
C18H29O3,CHO,372.13,18,29,3,0,0,0,0.17,1.61,0.00,0.00,0.00,1794868.685,2131076.918,1367741.555,280313.5315,809541.4516,1377.392687
C19H36O7N10S,CHONS,548.2489133,19,36,7,10,0,1,0.37,1.89,0.53,0.00,0.00,183878.6176,63703.66993,95695.22592,140054.5866,188843.7654,75703.41566
C20H22O3,CHO,310.1569,20,22,3,0,0,0,0.15,1.10,0.00,0.00,0.00,6703.748995,50695.0287,76248.23393,586448.0951,60154.56595,429337.6139
C21H42O2,CHO,326.3185,21,42,2,0,0,0,0.10,2.00,0.00,0.00,0.00,677631.6985,270114.0097,366658.077,279978.2621,440243.5484,259010.7674
C27H51O4N,CHON,453.3818,27,51,4,1,0,0,0.15,1.89,0.04,0.00,0.00,215274.8024,497020.8742,355923.9819,88328.07699,123001.4213,853.5602728
C22H33O6N8P,CHONP,506.2601233,22,33,6,8,1,0,0.27,1.50,0.36,0.05,8.00,2283055.923,3513983.979,3381791.125,2684539.676,8675789.426,799642.6396
C12H24O4N6,CHON,316.1858933,12,24,4,6,0,0,0.33,2.00,0.50,0.00,0.00,10218963.57,6936657.536,13005924.91,5630531.331,2932773.398,4461630.383
C32H61O4N,CHON,523.4601,32,61,4,1,0,0,0.13,1.91,0.03,0.00,0.00,2267391.237,16702967.89,996.6218694,5863.199872,1131.238558,2165.077152
C24H40O6N10,CHON,564.3132233,24,40,6,10,0,0,0.25,1.67,0.42,0.00,0.00,1524473.805,1979369.708,86254.19808,3611.591487,2987.662293,1199.954631
C5H5O4N,CHON,143.0219,5,5,4,1,0,0,0.80,1.00,0.20,0.00,0.00,,6710.749356,7853.476718,405547.0667,747744.4191,622304.8144
C9H13O3N4P,CHONP,226.1065833,9,13,3,4,1,0,0.33,1.44,0.44,0.11,4.00,317526.7462,2005840.362,410499.2831,1512240.199,1698615.756,39159.55711
C27H47O6N7,CHON,565.3587633,27,47,6,7,0,0,0.22,1.74,0.26,0.00,0.00,7892821.598,2306608.743,6104720.739,9896194.761,11220809.76,4760486.866
C28H41O12N7,CHON,667.2813133,28,41,12,7,0,0,0.43,1.46,0.25,0.00,0.00,7109909.197,1095832.537,3474686.536,81944.43363,112165.1176,2724.051609
C38H78,CH,534.6104,38,78,0,0,0,0,0.00,2.05,0.00,0.00,0.00,116035832.2,219011135.9,59920110.84,255879706.9,328659472.2,87948294.64
C20H29O11N7,CHON,543.1924933,20,29,11,7,0,0,0.55,1.45,0.35,0.00,0.00,1252877.797,2763194.591,497134.973,844775.5289,797264.0606,81156.78551
C10H12O3,CHO,180.078645,10,12,3,0,0,0,0.30,1.20,0.00,0.00,0.00,7196500.347,7681764.322,915124.149,19267676.05,22893041.81,11104210.2
C13H22O7N6,CHON,374.1550033,13,22,7,6,0,0,0.54,1.69,0.46,0.00,0.00,787417.332,1243032.693,460065.4131,416124.4539,330114.6506,79843.55598
C37H54O12N10S,CHONS,862.3643333,37,54,12,10,0,1,0.32,1.46,0.27,0.00,0.00,5608603.104,3787229.058,1490546.801,253054.9369,2198079.75,3295885.603
C20H34O13N8,CHON,594.2245233,20,34,13,8,0,0,0.65,1.70,0.40,0.00,0.00,102113.2031,139375.8323,152439.1947,352980.1636,15645.45342,310579.7265
C22H34O6,CHO,394.2355,22,34,6,0,0,0,0.27,1.55,0.00,0.00,0.00,220345.5231,615036.1188,293978.954,556114.2201,465952.5676,4724.273182
C9H16O5N2,CHON,232.1059133,9,16,5,2,0,0,0.56,1.78,0.22,0.00,0.00,8037829.228,31048121.82,16240484.5,8030034.024,15373562.33,14917504.02
C23H40O8N8S,CHONS,588.2689733,23,40,8,8,0,1,0.35,1.74,0.35,0.00,0.00,374667.7761,566546.1636,322356.586,359261.7081,140635.1522,242816.3948
C16H23O12N5,CHON,477.1343033,16,23,12,5,0,0,0.75,1.44,0.31,0.00,0.00,6121034.321,2687570.223,4990514.836,2295294.619,2707281.908,3332277.251
C10H17O6N,CHON,247.1056,10,17,6,1,0,0,0.60,1.70,0.10,0.00,0.00,9668531.696,13532038.97,19799329.74,22196105.02,27378669.4,17384700.07
C28H48O2,CHO,416.3654,28,48,2,0,0,0,0.07,1.71,0.00,0.00,0.00,67873.18935,107508.8004,67873.18935,819248.1669,588163.6301,191370.6916
C21H34O9N4,CHON,486.2325633,21,34,9,4,0,0,0.43,1.62,0.19,0.00,0.00,1403795.192,1554887.711,949110.8155,2015296.393,632934.4691,1888904.168
C13H8S2,CHS,228.006744,13,8,0,0,0,2,0.00,0.62,0.00,0.00,0.00,652015.6354,234764.7198,798488.0023,1677120.344,2126700.267,6474.559434
C23H36O6N6,CHON,492.2696133,23,36,6,6,0,0,0.26,1.57,0.26,0.00,0.00,935127.8124,1426106.49,92039.21106,88344.37509,359203.3385,304819.5611
C23H22O12,CHO,490.1111,23,22,12,0,0,0,0.52,0.96,0.00,0.00,0.00,793586.1923,691539.6371,417407.139,5855465.798,5415610.78,1838170.294
C20H30O5,CHO,350.2093,20,30,5,0,0,0,0.25,1.50,0.00,0.00,0.00,5832001.82,6142140.389,7711376.586,12754832.49,13911560.46,7874124.877
C18H30O3,CHO,294.2195,18,30,3,0,0,0,0.17,1.67,0.00,0.00,0.00,2238944.315,1651683.618,428766.6629,2766136.487,1629541.654,1980301.047
C23H46O7NP,CHONP,479.3012,23,46,7,1,1,0,0.30,2.00,0.04,0.04,1.00,234784.3373,27324.8572,30358.02372,1545.213857,1072.358267,2901.068532
C20H33O10N5S,CHONS,535.1948033,20,33,10,5,0,1,0.50,1.65,0.25,0.00,0.00,3429001.034,5961507.228,3429737.715,2136250.372,4834128.305,482697.663
C24H22O5,CHO,390.1467,24,22,5,0,0,0,0.21,0.92,0.00,0.00,0.00,121216.6567,750472.2417,829780.0892,398103.3394,66419.86073,457086.3369
C12H26O,CHO,186.1984,12,26,1,0,0,0,0.08,2.17,0.00,0.00,0.00,3392204.137,4547205.779,2118401.438,1929791.26,5518905.057,4859616.328
C11H14O,CHO,162.1045,11,14,1,0,0,0,0.09,1.27,0.00,0.00,0.00,4555933.924,3020122.985,3147729.832,2419259.276,2725929.911,1912442.771
C20H34O6,CHO,370.2355,20,34,6,0,0,0,0.30,1.70,0.00,0.00,0.00,8070530.745,8915898.846,3239528.734,4282506.265,3868892.056,4999670.95
C34H58O9N12,CHON,778.4449633,34,58,9,12,0,0,0.26,1.71,0.35,0.00,0.00,9879334.516,2795914.946,5718487.104,1627475.839,1233718.955,2833036.417
C20H38O5N4S2,CHONS,478.2283633,20,38,5,4,0,2,0.25,1.90,0.20,0.00,0.00,493962.9954,2913475.263,1735937.436,2233484.531,2405721.966,265217.4648
C35H53O18N9,CHON,887.3508433,35,53,18,9,0,0,0.51,1.51,0.26,0.00,0.00,27709.64338,495411.398,57792.04844,23786.47328,106985.7071,101612.8445
C19H33O10N7S2,CHONS,583.1730433,19,33,10,7,0,2,0.53,1.74,0.37,0.00,0.00,486047.7056,726372.8907,320302.1223,1479566.504,1449421.644,7144.64563
C24H36O5N4S,CHONS,492.2406333,24,36,5,4,0,1,0.21,1.50,0.17,0.00,0.00,2762108.054,1397372.946,1441890.977,3720144.75,5935659.654,9917019.699
C15H14O6,CHO,290.07904,15,14,6,0,0,0,0.40,0.93,0.00,0.00,0.00,5399579.908,814722.1927,1608811.008,2352819.131,1294114.295,2342791.948
C25H28O9,CHO,472.1733,25,28,9,0,0,0,0.36,1.12,0.00,0.00,0.00,446094.1122,577719.7241,10451.55786,4145416.915,2202653.9,190278.0437
C20H17O7N,CHON,383.100504,20,17,7,1,0,0,0.35,0.85,0.05,0.00,0.00,156669.2651,417196.2923,104423.7009,80681.80413,244856.6614,
C14H26O3,CHO,242.1882,14,26,3,0,0,0,0.21,1.86,0.00,0.00,0.00,1824788.347,1742957.863,1859549.513,4992524.693,2867222.604,4718435.844
C25H37O7N6PS,CHONPS,566.2522633,25,37,7,6,1,1,0.28,1.48,0.24,0.04,6.00,45601151.32,4653202.033,44500901.81,12997929.44,9557851.801,7002351.213
C22H43O9N7,CHON,549.3122233,22,43,9,7,0,0,0.41,1.95,0.32,0.00,0.00,7464592.563,8774959.439,11730212.77,26435860.15,33806146.59,54484852.2
C20H35O9N9S,CHONS,577.2278433,20,35,9,9,0,1,0.45,1.75,0.45,0.00,0.00,1434382.354,1864238.108,1045902.062,2501067.72,938059.0775,1878805.269
C23H40O9N7PS,CHONPS,591.2686433,23,40,9,7,1,1,0.39,1.74,0.30,0.04,7.00,208086.958,699824.5617,322267.181,998995.8867,719632.8843,897976.5539
C32H64O,CHO,464.4957,32,64,1,0,0,0,0.03,2.00,0.00,0.00,0.00,341.3077123,71324.8984,30222.26516,194592.2259,120794.6441,155540.9494
C31H38O7,CHO,522.2618,31,38,7,0,0,0,0.23,1.23,0.00,0.00,0.00,466.0252961,,631.9040576,82314.50202,16923.35285,1255.663523
C6H12O4,CHO,148.07356,6,12,4,0,0,0,0.67,2.00,0.00,0.00,0.00,550319.8397,599049.0171,488486.1675,242966.5994,155291.1783,225.6248149
C26H34O6N8,CHON,554.2601233,26,34,6,8,0,0,0.23,1.31,0.31,0.00,0.00,3158513.06,4520447.731,1367594.221,6641163.956,7684985.869,2021565.41
C24H36O5N6S,CHONS,520.2467833,24,36,5,6,0,1,0.21,1.50,0.25,0.00,0.00,119841.1605,93316.84851,129555.6698,382695.3918,450895.8494,587057.2306
C20H32O4N4S,CHONS,424.2144233,20,32,4,4,0,1,0.20,1.60,0.20,0.00,0.00,2070269.916,2430704.781,963504.0787,201986.4658,120218.5968,21802.21161
C13H16O,CHO,188.1201,13,16,1,0,0,0,0.08,1.23,0.00,0.00,0.00,53886.83709,102263.0012,108890.4901,2436002.269,2277835.983,1017012.131
C17H30O7N4S,CHONS,434.1835133,17,30,7,4,0,1,0.41,1.76,0.24,0.00,0.00,2195533.771,311388.4925,1923949.08,697909.8634,530634.1219,401919.1723
C22H43O6N5,CHON,473.3213233,22,43,6,5,0,0,0.27,1.95,0.23,0.00,0.00,251358.1855,421155.1116,387947.1627,1310613.611,1097529.197,138049.4241
C21H35O6N7,CHON,481.2648733,21,35,6,7,0,0,0.29,1.67,0.33,0.00,0.00,10507651.72,11641077.62,1465176.699,20419349.56,17811740.6,5241462.859
C17H32O5N4S3,CHONS,468.1534933,17,32,5,4,0,3,0.29,1.88,0.24,0.00,0.00,766892.7687,721622.0848,686807.7619,59616.22631,25593.75398,217296.5522
C32H55O16N11,CHON,849.3828233,32,55,16,11,0,0,0.50,1.72,0.34,0.00,0.00,346327.9314,421484.1202,488380.5989,175471.0452,231504.7654,238020.7358
C24H49O5N13,CHON,599.3979533,24,49,5,13,0,0,0.21,2.04,0.54,0.00,0.00,9212425.922,6609892.24,7773251.186,7407571.573,6554718.383,1613702.407
C16H28O7N5P,CHONP,403.2066833,16,28,7,5,1,0,0.44,1.75,0.31,0.06,5.00,410114.6342,448479.168,272389.6135,445216.9849,157788.487,361624.7731
C26H40O6N8P2,CHONP,562.3227233,26,40,6,8,2,0,0.23,1.54,0.31,0.08,4.00,76826.11527,76826.11527,8016.370983,41588.12557,20775.51436,48906.99809
C9H8O,CHO,132.057515,9,8,1,0,0,0,0.11,0.89,0.00,0.00,0.00,194696.6925,76469.22778,490698.347,176081.1104,99453.53803,78237.2133
C23H41O5N12PS,CHONPS,598.3121833,23,41,5,12,1,1,0.22,1.78,0.52,0.04,12.00,169381.1657,90263.41991,37324.88566,4770.461709,821.7488057,2283.151703
C29H53O12N9S2,CHONS,783.3255133,29,53,12,9,0,2,0.41,1.83,0.31,0.00,0.00,542062.7392,299236.4945,157486.6853,56493.58055,1953974.298,137553.9662
C18H28O2,CHO,276.2089,18,28,2,0,0,0,0.11,1.56,0.00,0.00,0.00,1604029.559,779887.6871,2402628.616,1874760.092,3564966.473,5279024.414
C21H40O6N8S,CHONS,532.2791433,21,40,6,8,0,1,0.29,1.90,0.38,0.00,0.00,101068502.3,91719268.48,61669825.79,48126555.84,41429755.62,57170989.48
C24H47O6N7,CHON,529.3587633,24,47,6,7,0,0,0.25,1.96,0.29,0.00,0.00,553.3293123,2054.537498,849.4177275,36765.7824,7243.711906,1497.545918
C14H22O9N6,CHON,418.1448233,14,22,9,6,0,0,0.64,1.57,0.43,0.00,0.00,282636.2912,463122.0908,410203.9175,494876.0145,441903.8715,476948.0055
C22H39O5N9,CHON,509.3074033,22,39,5,9,0,0,0.23,1.77,0.41,0.00,0.00,499672.4848,3164926.106,2115.148268,15224.62892,2451.137535,2619.406656
C26H41O6N5S2,CHONS,583.2498233,26,41,6,5,0,2,0.23,1.58,0.19,0.00,0.00,637706.2616,507744.2872,661733.0928,2011968.546,2828302.353,3186511.33
C17H28O9N4S2,CHONS,496.1297733,17,28,9,4,0,2,0.53,1.65,0.24,0.00,0.00,5049167.014,6365963.302,5515832.774,4247301.675,1817460.615,5894752.805
C24H46O3,CHO,382.3447,24,46,3,0,0,0,0.13,1.92,0.00,0.00,0.00,959540.0066,752080.2049,347084.0915,1528870.063,1308006.551,889819.154
C24H39O12N5,CHON,589.2595033,24,39,12,5,0,0,0.50,1.63,0.21,0.00,0.00,360287.5073,219712.9189,251730.1633,118889.5462,2380815.795,151229.5851
C20H36O9N6S2,CHONS,568.1985233,20,36,9,6,0,2,0.45,1.80,0.30,0.00,0.00,60283.50708,333594.634,494581.0953,3583132.76,2296359.149,22764.10077
C23H44O8N6,CHON,532.3221,23,44,8,6,0,0,0.35,1.91,0.26,0.00,0.00,31046.39963,198361.6296,327547.5473,774563.6776,282264.0228,347725.718
C25H33O9N5,CHON,547.2278133,25,33,9,5,0,0,0.36,1.32,0.20,0.00,0.00,7721701.23,7199700.64,5243193.854,9676856.656,12633528.29,4307933.756
C17H33O4N7,CHON,399.2593933,17,33,4,7,0,0,0.24,1.94,0.41,0.00,0.00,136121.6363,109725.2984,519959.401,146536.1446,84833.03192,3264.981097
C32H55O16N9S,CHONS,853.3487533,32,55,16,9,0,1,0.50,1.72,0.28,0.00,0.00,277679.8782,149203.1828,260669.0014,273076.2815,406852.9533,761950.4318
C20H30O4,CHO,334.2144,20,30,4,0,0,0,0.20,1.50,0.00,0.00,0.00,1051868.106,3818134.522,1686513.065,3973061.97,1825282.26,3035425.264
C30H58O4,CHO,482.4335,30,58,4,0,0,0,0.13,1.93,0.00,0.00,0.00,1620421.79,1926683.401,171222.436,5773254.256,9235793.988,820760.2499
C24H45O7N11,CHON,599.3503333,24,45,7,11,0,0,0.29,1.88,0.46,0.00,0.00,755164.5109,443452.3053,22458.12487,1946284.884,1236238.287,1043784.031
C13H21O9N3,CHON,363.1277733,13,21,9,3,0,0,0.69,1.62,0.23,0.00,0.00,69905.24556,300881.6073,174239.2008,145770.5581,216498.3284,184022.37
C22H45O6N9,CHON,531.3492733,22,45,6,9,0,0,0.27,2.05,0.41,0.00,0.00,2841533.49,3445034.923,2120715.123,3501941.174,2513413.914,2934777.799
C27H29O6N5,CHON,519.2117733,27,29,6,5,0,0,0.22,1.07,0.19,0.00,0.00,364114.0699,328797.1638,457050.639,172900.4039,254258.6376,33556.98238
C16H26O9N4,CHON,418.1699733,16,26,9,4,0,0,0.56,1.63,0.25,0.00,0.00,10643815.19,5825876.085,8688445.111,8272533.066,6173779.378,4461630.383
C24H36O7N6,CHON,520.2645433,24,36,7,6,0,0,0.29,1.50,0.25,0.00,0.00,21652709.45,20441819.37,774961.9745,246969.9465,73564.94874,124463.8648
C25H38O9N6S,CHONS,598.2421033,25,38,9,6,0,1,0.36,1.52,0.24,0.00,0.00,1173324.169,319101.1601,594411.8796,336976.8489,969774.3945,774598.9118
C18H28O7N8,CHON,468.2080933,18,28,7,8,0,0,0.39,1.56,0.44,0.00,0.00,30698388.79,40690772.58,37428539.63,32771901.16,79476782.04,17265418.98
C19H28O13N6,CHON,548.1714233,19,28,13,6,0,0,0.68,1.47,0.32,0.00,0.00,2592859.279,890996.1215,960719.9421,927386.4011,602356.9243,552425.4001
C36H68O4,CHO,564.5118,36,68,4,0,0,0,0.11,1.89,0.00,0.00,0.00,1504476.565,317206.2177,1403648.038,485466.6861,271717.4141,600280.1368
C15H12O3,CHO,240.0786,15,12,3,0,0,0,0.20,0.80,0.00,0.00,0.00,585826.4042,1311068.743,635990.5627,2576287.646,648309.8797,108.9516006
C19H32O6N8S,CHONS,500.2165533,19,32,6,8,0,1,0.32,1.68,0.42,0.00,0.00,1217968.3,935626.4333,431276.9762,395429.5893,484829.6271,801870.347
C27H43O6N5S,CHONS,565.2933933,27,43,6,5,0,1,0.22,1.59,0.19,0.00,0.00,47104.52703,92463.48763,120091.7467,468763.1715,455784.5078,
C10H20O4N3P,CHONP,247.1532033,10,20,4,3,1,0,0.40,2.00,0.30,0.10,3.00,5408881.683,13267099.6,5391550.254,5014421.16,7836691.793,16637531.45
C6H10O7,CHO,194.042655,6,10,7,0,0,0,1.17,1.67,0.00,0.00,0.00,652953.1764,1018599.303,1057391.13,789721.2358,593538.464,
C47H87O12N11,CHON,997.6535433,47,87,12,11,0,0,0.26,1.85,0.23,0.00,0.00,30529.17545,51748.89934,5032.806679,4728.356906,8885.809931,35235.98441
C23H37O7N5S,CHONS,527.2413733,23,37,7,5,0,1,0.30,1.61,0.22,0.00,0.00,164075.9938,1103687.556,1605513.462,9927062.325,12940329.79,927094.6799
C28H44O2,CHO,412.3341,28,44,2,0,0,0,0.07,1.57,0.00,0.00,0.00,2205953.464,3109379.378,3996040.803,5434599.293,8323424.294,8082135.117
C18H22O4N4,CHON,358.1640933,18,22,4,4,0,0,0.22,1.22,0.22,0.00,0.00,140618.5804,219864.0222,149601.2801,275965.8375,473339.4096,24695.89004
C21H20O9,CHO,416.110735,21,20,9,0,0,0,0.43,0.95,0.00,0.00,0.00,70101321.01,88030663.22,50736749.46,62148980.69,110363344.1,20343916.14
C14H26O6N6,CHON,374.1913733,14,26,6,6,0,0,0.43,1.86,0.43,0.00,0.00,138500.0871,86342.12091,76626.32742,31558.61739,31558.61739,70737.41316
